###,params,-i64,-r128,-u40,/,keep,median,of,reps,7,of,dur,4000
#,Result,from,7,repetitions:,median
#,LL_LAZY,LL_COUPLING,LL_HARRIS_OPT,LL_OPTIK_GL,LL_OPTIK,LL_PUGH,
#cores,throughput,throughput,throughput,throughput,throughput,throughput,
1,6318104,1475663,5161914,6490642,6034914,6503823,
2,5822248,250483,7054612,5457082,7419864,5863255,
4,6399914,438522,9915952,5412638,9627426,6738130,
6,5193495,614335,10794821,5425440,10179153,7334839,
8,4189559,753970,10936918,4977766,10546146,7054366,
10,3450878,468147,10996489,4840944,10506659,6721692,
12,3139309,326810,10819804,4373190,10388189,6431897,
14,2874640,257507,10896116,3851799,10416711,6086557,
16,2697922,211554,10791473,3351726,10279371,5856655,
18,2623202,188267,10692597,2826983,10204985,5535796,
20,2522577,162173,10678606,2354306,10176249,5289270,
22,2452990,144473,10450057,2060485,10150183,5077660,
24,2394656,134532,10391482,1826332,10118134,4999836,
26,2352187,122139,10364830,1664578,10022591,4867907,
28,2305398,112418,10396897,1488211,10054441,4819005,
30,2261603,105240,10287811,1401637,10013926,4709088,
32,2233065,99181,10225170,1244178,9967582,4663071,
34,2160629,91180,10191700,1173126,9927778,4617405,
36,2099851,84288,10153566,1135283,9867472,4531694,
38,1752452,69538,10157396,1099607,9415596,3884232,
40,1459747,56472,10098644,1086345,9016619,3377254,
42,1296161,46982,10120319,1099971,8432397,2776586,
44,1058846,37351,9984310,1059575,8142958,2541502,
46,865395,34930,10093232,1038223,7879134,2159319,
48,710800,29673,10065064,1049266,7651934,1943487,
52,590839,22922,10002028,1010984,7136826,1445280,
56,456864,18712,10018845,982699,7001187,1175376,
60,383032,16897,9943719,959252,6448429,865397,
64,328486,14138,10068449,1017549,6137738,756464,
68,322792,11419,9989192,996381,6195902,561662,
72,302242,10425,10038971,980553,6164006,496926,
