###,params,-i65534,-p60,/,keep,median,of,reps,7,of,dur,4000
#,Result,from,7,repetitions:,median
#,S_GL,S_TREIBER,
#cores,throughput,throughput,
1,15700838,11787531,
2,5853374,3740125,
4,5128335,1843763,
6,5215626,1588905,
8,5355776,1482893,
10,5509618,1378712,
12,5597860,1241940,
14,5546391,1101154,
16,5443235,935800,
18,5546857,805281,
20,5636398,683259,
22,5665337,578315,
24,5684098,492329,
26,5644522,405913,
28,5688473,372476,
30,5696790,349605,
32,5654981,320014,
34,5597874,281061,
36,5711857,273642,
38,4712438,258815,
40,3990983,275344,
42,3758734,270982,
44,3405885,277310,
46,3258598,261151,
48,3082067,271512,
52,2802220,273423,
56,2423562,272605,
60,2308710,287038,
64,2239334,290356,
68,1975119,283668,
72,1886705,303317,
