###,params,-i65534,-p50,/,keep,median,of,reps,7,of,dur,4000
#,Result,from,7,repetitions:,median
#,S_GL,S_TREIBER,
#cores,throughput,throughput,
1,22476853,18620543,
2,9387325,7407114,
4,4955527,5483295,
6,3340498,5329926,
8,2045809,5307703,
10,1869844,5464122,
12,1367310,5490224,
14,1229579,5611195,
16,944056,5615856,
18,956405,5723421,
20,792143,5698082,
22,769152,5581877,
24,775744,5508966,
26,751752,5786336,
28,724586,5813052,
30,710862,5676046,
32,714808,5528346,
34,725304,5754958,
36,716476,5642437,
38,725429,5591932,
40,724061,5853484,
44,649391,5869168,
48,602988,5585055,
52,580397,5581700,
56,565974,5454905,
60,473502,5125121,
